entry_id,year_from,year_to,region_africa,region_central_eurasia,region_east_asia,region_europe,region_north_america,region_oceania_australia,region_south_america,region_south_asia,region_southeast_asia,region_southwest_asia,entrytag_9,entrytag_14,entrytag_18,entrytag_24,entrytag_38,entrytag_123,entrytag_508,entrytag_510,entrytag_905,entrytag_14828
637,1900,1924,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
638,1855,1900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
639,716,900,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
645,1100,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
646,1889,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
647,1893,1921,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
648,1870,1901,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
649,700,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
650,1918,1945,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651,1930,1955,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
652,1904,1930,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654,1198,1250,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
