Type,Percent,Iter,Method,var_x,var_y,corr_complete,corr_imputed
MAR,10,1,micePMM,X4745,X4776,-0.04755867404892234,-0.07514494952098812
MAR,10,1,micePMM,X4745,X4780,0.022871412401678868,0.05579941752064483
MAR,10,1,micePMM,X4745,X4794,0.32942204912556916,0.27397304056080113
MAR,10,1,micePMM,X4745,X4828,-0.03625601174099287,-0.01110669441190987
MAR,10,1,micePMM,X4745,X4954,0.05991069443423865,0.05107094907187633
MAR,10,1,micePMM,X4745,X5196,0.18851541041753805,0.1483768364743628
MAR,10,1,micePMM,X4745,X5220,0.2053009022573063,0.11968997734094937
MAR,10,1,micePMM,X4745,X5226,0.17814625364561698,0.14876348580313
MAR,10,1,micePMM,X4776,X4780,0.20718306749297075,0.22155558887211144
MAR,10,1,micePMM,X4776,X4794,0.04744317966081159,0.036645191672318694
MAR,10,1,micePMM,X4776,X4828,0.0268928604497047,0.05346056366108604
MAR,10,1,micePMM,X4776,X4954,0.17110590491418556,0.13430303240282054
MAR,10,1,micePMM,X4776,X5196,0.010769979595619854,0.06789377456876552
MAR,10,1,micePMM,X4776,X5220,-0.035363841004637166,-0.10423905042228483
MAR,10,1,micePMM,X4776,X5226,-0.011809596141917369,0.001683378834859913
MAR,10,1,micePMM,X4780,X4794,0.03309907911159734,0.06338068017734859
MAR,10,1,micePMM,X4780,X4828,0.11338773642554473,0.13234541803393723
MAR,10,1,micePMM,X4780,X4954,0.11937327817625405,0.1472517409940759
MAR,10,1,micePMM,X4780,X5196,0.0075137545420497776,-0.000845493280956332
MAR,10,1,micePMM,X4780,X5220,0.08540252551527888,0.07445817871812918
MAR,10,1,micePMM,X4780,X5226,0.08365805205931719,0.08375304278569529
MAR,10,1,micePMM,X4794,X4828,-0.10340253000749859,-0.10673878828327402
MAR,10,1,micePMM,X4794,X4954,0.023889661829999725,-0.004228064016338631
MAR,10,1,micePMM,X4794,X5196,0.07804819248859426,0.09644301235477176
MAR,10,1,micePMM,X4794,X5220,0.22125520449865627,0.21342824025738782
