Question,Method,Type,Percent,Iter,RMSE,Mean Percent Bias,Accuracy,Precision,Recall,F1 score,Matthews Correlation
X4828,mode,MAR,10,6,0.4309458036856673,18.571428571428573,0.8142857142857143,0.8142857142857143,1.0,0.8976377952755905,0.0
X4954,mode,MAR,10,6,0.47519096331149147,22.58064516129032,0.7741935483870968,0.7741935483870968,1.0,0.8727272727272727,0.0
X5132,mode,MAR,10,6,0.3779644730092272,14.285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0
X5137,mode,MAR,10,6,0.0,0.0,1.0,,,,
X5196,mode,MAR,10,6,0.3333333333333333,11.11111111111111,0.8888888888888888,0.0,0.0,0.0,0.0
X5220,mode,MAR,10,6,0.560611910581388,31.428571428571427,0.6857142857142857,0.0,0.0,0.0,0.0
X5226,mode,MAR,10,6,0.4931969619160719,24.324324324324326,0.7567567567567568,0.7567567567567568,1.0,0.8615384615384616,0.0
X4654,mode,MAR,10,7,0.16012815380508713,2.564102564102564,0.9743589743589743,0.9743589743589743,1.0,0.9870129870129869,0.0
X4676,mode,MAR,10,7,0.5091750772173156,25.925925925925924,0.7407407407407407,0.7407407407407407,1.0,0.851063829787234,0.0
X4729,mode,MAR,10,7,0.45226701686664544,20.454545454545457,0.7954545454545454,0.7954545454545454,1.0,0.8860759493670886,0.0
X4745,mode,MAR,10,7,0.454858826147342,20.689655172413794,0.7931034482758621,0.7931034482758621,1.0,0.8846153846153846,0.0
X4776,mode,MAR,10,7,0.18569533817705186,3.4482758620689653,0.9655172413793104,0.9655172413793104,1.0,0.9824561403508771,0.0
X4780,mode,MAR,10,7,0.17149858514250885,2.941176470588235,0.9705882352941176,0.9705882352941176,1.0,0.9850746268656716,0.0
X4794,mode,MAR,10,7,0.4913036844405175,24.137931034482758,0.7586206896551724,0.7586206896551724,1.0,0.8627450980392156,0.0
X4827,mode,MAR,10,7,0.0,0.0,1.0,1.0,1.0,1.0,
X4828,mode,MAR,10,7,0.3964124835860459,15.714285714285714,0.8428571428571429,0.8428571428571429,1.0,0.9147286821705426,0.0
X4954,mode,MAR,10,7,0.1767766952966369,3.125,0.96875,0.96875,1.0,0.9841269841269841,0.0
X5132,mode,MAR,10,7,0.0,0.0,1.0,,,,
X5137,mode,MAR,10,7,0.1767766952966369,3.125,0.96875,0.0,0.0,0.0,0.0
X5196,mode,MAR,10,7,0.4264014327112209,18.181818181818183,0.8181818181818182,0.0,0.0,0.0,0.0
X5220,mode,MAR,10,7,0.5590169943749475,31.25,0.6875,0.0,0.0,0.0,0.0
X5226,mode,MAR,10,7,0.5773502691896257,33.33333333333333,0.6666666666666666,0.6666666666666666,1.0,0.8,0.0
X4654,mode,MAR,10,8,0.0,0.0,1.0,1.0,1.0,1.0,
X4676,mode,MAR,10,8,0.5863019699779287,34.375,0.65625,0.65625,1.0,0.7924528301886793,0.0
X4729,mode,MAR,10,8,0.4472135954999579,20.0,0.8,0.8,1.0,0.888888888888889,0.0
X4745,mode,MAR,10,8,0.47519096331149147,22.58064516129032,0.7741935483870968,0.7741935483870968,1.0,0.8727272727272727,0.0
X4776,mode,MAR,10,8,0.2847473987257497,8.108108108108109,0.918918918918919,0.918918918918919,1.0,0.9577464788732395,0.0
X4780,mode,MAR,10,8,0.1643989873053573,2.7027027027027026,0.972972972972973,0.972972972972973,1.0,0.9863013698630138,0.0
X4794,mode,MAR,10,8,0.568796458994521,32.35294117647059,0.6764705882352942,0.6764705882352942,1.0,0.8070175438596492,0.0
X4827,mode,MAR,10,8,0.0,0.0,1.0,1.0,1.0,1.0,
